"path","parent","direct_files","direct_subdirs","subtree_files"
"app\api\superadmin\users\cleanup","app\api\superadmin\users","1","0","1"
"app\api\superadmin\users\delete","app\api\superadmin\users","1","0","1"
"app\api\superadmin\users\disable","app\api\superadmin\users","1","0","1"
"app\api\superadmin\users\enable","app\api\superadmin\users","1","0","1"
"app\api\superadmin\users\set-company-admin","app\api\superadmin\users","1","0","1"
"app\api\superadmin\users\set-scope","app\api\superadmin\users","1","0","1"
"app\api\support","app\api","0","1","1"
"app\api\support\report","app\api\support","1","0","1"
"app\api\system","app\api","1","9","11"
"app\api\system\ai","app\api\system","0","2","2"
"app\api\system\ai\diagnostics","app\api\system\ai","1","0","1"
"app\api\system\ai\health","app\api\system\ai","1","0","1"
"app\api\system\control-plane","app\api\system","1","0","1"
"app\api\system\freeze","app\api\system","1","0","1"
"app\api\system\health","app\api\system","1","0","1"
"app\api\system\outbox","app\api\system","0","1","1"
"app\api\system\outbox\process","app\api\system\outbox","1","0","1"
"app\api\system\receipts","app\api\system","1","0","1"
"app\api\system\run","app\api\system","1","0","1"
"app\api\system\snapshot","app\api\system","1","0","1"
"app\api\system\time","app\api\system","1","0","1"
"app\api\saas","app\api","0","3","4"
"app\api\saas\billing","app\api\saas","1","1","2"
"app\api\saas\billing\webhook","app\api\saas\billing","1","0","1"
"app\api\saas\onboarding","app\api\saas","1","0","1"
"app\api\saas\tenant","app\api\saas","1","0","1"
"app\api\track","app\api","0","1","1"
"app\api\track\click","app\api\track","1","0","1"
"app\api\user","app\api","0","1","2"
"app\api\user\gdpr","app\api\user","0","2","2"
"app\api\user\gdpr\delete","app\api\user\gdpr","1","0","1"
"app\api\user\gdpr\export","app\api\user\gdpr","1","0","1"
"app\api\v1","app\api","0","1","1"
"app\api\v1\public","app\api\v1","0","1","1"
"app\api\v1\public\orders","app\api\v1\public","1","0","1"
"app\api\week","app\api","1","0","1"
"app\api\weekplan","app\api","1","2","3"
"app\api\weekplan\next","app\api\weekplan","1","0","1"
"app\api\weekplan\publish","app\api\weekplan","1","0","1"
"app\api\worker","app\api","0","1","1"
"app\api\worker\run","app\api\worker","1","0","1"
"app\auth","app","0","5","5"
"app\auth\callback","app\auth","1","0","1"
"app\auth\login","app\auth","1","0","1"
"app\auth\post-login","app\auth","1","0","1"
"app\auth\profile","app\auth","1","0","1"
"app\auth\session","app\auth","1","0","1"
"app\definitiv-guide-firmalunsj","app","1","0","1"
"app\driver","app","4","1","5"
"app\driver\csv","app\driver","1","0","1"
"app\hva-er-lunsjordning","app","1","0","1"
"app\kitchen","app","6","1","8"
"app\kitchen\report","app\kitchen","2","0","2"
"app\kontakt","app","2","0","2"
"app\lunch-levering-bergen","app","1","0","1"
"app\lunsj-levering-oslo","app","1","0","1"
"app\lunsjordning-trondheim","app","1","0","1"
"app\menus","app","0","1","1"
"app\menus\week","app\menus","1","0","1"
"app\min-side","app","1","0","1"
"app\onboarding","app","3","2","5"
"app\onboarding\complete","app\onboarding","1","0","1"
"app\onboarding\thanks","app\onboarding","1","0","1"
"app\orders","app","1","0","1"
"app\outbox","app","1","0","1"
"app\pending","app","1","0","1"
"app\personvern","app","1","0","1"
"app\priser","app","1","0","1"
"app\product","app","0","1","1"
"app\product\[productId]","app\product","1","0","1"
"app\public","app","0","1","5"
"app\public\demo","app\public","5","0","5"
"app\registrering","app","1","0","1"
"app\sikkerhet","app","1","0","1"
"app\status","app","1","0","1"
"app\superadmin","app","5","29","103"
"app\superadmin\_components","app\superadmin","11","0","11"
"app\superadmin\agreements","app\superadmin","3","1","5"
"app\superadmin\agreements\[id]","app\superadmin\agreements","2","0","2"
"app\superadmin\audit","app\superadmin","2","1","4"
"app\superadmin\audit\[id]","app\superadmin\audit","2","0","2"
"app\superadmin\autonomy","app\superadmin","2","0","2"
"app\superadmin\billing","app\superadmin","1","0","1"
"app\superadmin\cfo","app\superadmin","2","0","2"
"app\superadmin\companies","app\superadmin","2","1","14"
"app\superadmin\companies\[companyId]","app\superadmin\companies","10","1","12"
"app\superadmin\companies\[companyId]\agreement","app\superadmin\companies\[companyId]","2","0","2"
"app\superadmin\control-tower","app\superadmin","3","0","3"
"app\superadmin\cto","app\superadmin","2","0","2"
"app\superadmin\enterprise","app\superadmin","2","1","4"
"app\superadmin\enterprise\[groupId]","app\superadmin\enterprise","2","0","2"
"app\superadmin\esg","app\superadmin","3","1","5"
"app\superadmin\esg\[companyId]","app\superadmin\esg","2","0","2"
"app\superadmin\experiments","app\superadmin","2","0","2"
"app\superadmin\firms","app\superadmin","4","1","8"
"app\superadmin\firms\[companyId]","app\superadmin\firms","3","1","4"
"app\superadmin\firms\[companyId]\employees","app\superadmin\firms\[companyId]","1","0","1"
"app\superadmin\global","app\superadmin","2","0","2"
"app\superadmin\growth","app\superadmin","0","1","3"
"app\superadmin\growth\social","app\superadmin\growth","3","0","3"
"app\superadmin\investor","app\superadmin","2","0","2"
"app\superadmin\invoices","app\superadmin","2","3","6"
"app\superadmin\invoices\[runId]","app\superadmin\invoices","1","0","1"
"app\superadmin\invoices\reconcile","app\superadmin\invoices","2","0","2"
"app\superadmin\invoices\ui","app\superadmin\invoices","1","0","1"
"app\superadmin\operations","app\superadmin","1","0","1"
"app\superadmin\orders-today","app\superadmin","1","0","1"
"app\superadmin\outbox","app\superadmin","2","0","2"
"app\superadmin\overview","app\superadmin","1","0","1"
"app\superadmin\pipeline","app\superadmin","2","0","2"
"app\superadmin\sales","app\superadmin","2","0","2"
"app\superadmin\sales-agent","app\superadmin","2","0","2"
"app\superadmin\sales-loop","app\superadmin","2","0","2"
"app\superadmin\strategy","app\superadmin","2","0","2"
"app\superadmin\system","app\superadmin","3","1","4"
"app\superadmin\system\operations","app\superadmin\system","1","0","1"
"app\superadmin\system-graph","app\superadmin","2","0","2"
"app\superadmin\users","app\superadmin","1","0","1"
"app\system","app","2","2","5"
"app\system\[section]","app\system","1","0","1"
"app\system\kvittering","app\system","2","0","2"
"app\system-for-lunsjbestilling","app","1","0","1"
"app\saas","app","0","3","6"
"app\saas\billing","app\saas","2","0","2"
"app\saas\onboarding","app\saas","2","0","2"
"app\saas\plans","app\saas","2","0","2"
"app\today","app","3","0","3"
"app\vilkar","app","1","0","1"
"archive","","2","2","22"
"archive\app","archive","0","3","7"
"archive\app\(backoffice)","archive\app","0","1","4"
"archive\app\(backoffice)\backoffice","archive\app\(backoffice)","0","2","4"
"archive\app\(backoffice)\backoffice\_shell","archive\app\(backoffice)\backoffice","3","0","3"
"archive\app\(backoffice)\backoffice\content","archive\app\(backoffice)\backoffice","1","0","1"
"archive\app\(public)","archive\app","0","1","1"
"archive\app\(public)\registrering","archive\app\(public)","0","1","1"
"archive\app\(public)\registrering\components","archive\app\(public)\registrering","1","0","1"
"archive\app\today","archive\app","2","0","2"
"archive\components","archive","10","1","13"
"archive\components\site","archive\components","3","0","3"
"audit","","0","1","2"
"audit\forensic-2026-04-05","audit","2","0","2"
"components","","7","25","266"
"components\admin","components","25","0","25"
"components\ai","components","4","0","4"
"components\ai-motor","components","1","0","1"
"components\app","components","1","0","1"
"components\audit","components","2","0","2"
"components\auth","components","9","0","9"
"components\backoffice","components","21","0","21"
"components\blocks","components","20","1","65"
"components\blocks\enterpriseRegistry","components\blocks","45","0","45"
"components\cms","components","11","1","26"
"components\cms\control-plane","components\cms","15","0","15"
"components\kitchen","components","1","0","1"
"components\layout","components","14","0","14"
"components\nav","components","3","0","3"
"components\onboarding","components","6","0","6"
"components\orders","components","2","0","2"
"components\providers","components","1","0","1"
"components\public","components","1","0","1"
"components\registration","components","2","0","2"
"components\revenue","components","1","0","1"
"components\seo","components","3","0","3"
"components\site","components","0","0",
"components\superadmin","components","29","1","38"
"components\superadmin\controlTower","components\superadmin","9","0","9"
"components\system","components","7","0","7"
"components\toast","components","1","0","1"
"components\ui","components","21","2","24"
"components\ui\cms","components\ui","2","0","2"
"components\ui\ds","components\ui","1","0","1"
"components\week","components","1","0","1"
"config","","1","0","1"
"design","","1","0","1"
"docs","","39","33","1204"
"docs\ai-editor","docs","1","0","1"
"docs\ai-engine","docs","7","0","7"
"docs\audit","docs","17","1","39"
"docs\audit\full-system","docs\audit","22","0","22"
"docs\auth","docs","1","0","1"
"docs\backoffice","docs","10","0","10"
"docs\cms","docs","2","0","2"
"docs\cms-control-plane","docs","130","0","130"
"docs\commercial","docs","1","0","1"
"docs\db","docs","7","0","7"
"docs\decision","docs","9","0","9"
"docs\drift","docs","1","0","1"
"docs\e2e","docs","1","0","1"
"docs\enterprise","docs","3","0","3"
"docs\enterprise-ready","docs","18","0","18"
"docs\evidence","docs","18","0","18"
"docs\hardening","docs","27","0","27"
"docs\integrations","docs","1","0","1"
"docs\investor","docs","1","0","1"
"docs\live-ready","docs","19","0","19"
"docs\order-flow","docs","1","0","1"
"docs\phase2","docs","8","0","8"
"docs\phase2a","docs","23","0","23"
"docs\phase2b","docs","22","0","22"
"docs\phase2c","docs","34","0","34"
"docs\phase2d","docs","31","0","31"
"docs\product","docs","9","0","9"
"docs\rc","docs","2","0","2"
"docs\refactor","docs","22","0","22"
"docs\repo-audit","docs","40","0","40"
"docs\reports","docs","18","0","18"
"docs\sales","docs","2","0","2"
"docs\security","docs","5","0","5"
"docs\umbraco-parity","docs","651","1","652"
"docs\umbraco-parity\u38-screen-proof","docs\umbraco-parity","1","0","1"
"domain","","0","1","3"
"domain\backoffice","domain","0","1","3"
"domain\backoffice\ai","domain\backoffice","1","1","3"
"domain\backoffice\ai\metrics","domain\backoffice\ai","2","0","2"
"e2e","","20","2","23"
"e2e\fixtures","e2e","1","0","1"
"e2e\helpers","e2e","2","0","2"
"evidence","","58","34","118"
"evidence\cron-smoke-20260217-165030","evidence","1","0","1"
"evidence\cron-smoke-20260217-165124","evidence","1","0","1"
"evidence\cron-smoke-20260217-185607","evidence","1","0","1"
"evidence\cron-smoke-20260217-185809","evidence","0","0",
"evidence\cron-smoke-20260217-185843","evidence","0","0",
"evidence\cron-smoke-20260217-185959","evidence","1","0","1"
"evidence\cron-smoke-20260217-191434","evidence","1","0","1"
"evidence\cron-smoke-20260217-191652","evidence","1","0","1"
"evidence\forecast-smoke-20260217-185809","evidence","0","0",
"evidence\forecast-smoke-20260217-185843","evidence","0","0",
"evidence\forecast-smoke-20260217-185959","evidence","3","0","3"
"evidence\forecast-smoke-20260217-191434","evidence","3","0","3"
"evidence\forecast-smoke-20260217-191652","evidence","3","0","3"
"evidence\outbox-smoke-20260217-185809","evidence","0","0",
"evidence\outbox-smoke-20260217-185843","evidence","0","0",
"evidence\outbox-smoke-20260217-185959","evidence","3","0","3"
"evidence\outbox-smoke-20260217-191434","evidence","3","0","3"
"evidence\outbox-smoke-20260217-191652","evidence","3","0","3"
"evidence\preprod-smoke-20260217-185809","evidence","0","0",
"evidence\preprod-smoke-20260217-185844","evidence","0","0",
"evidence\preprod-smoke-20260217-185959","evidence","3","0","3"
"evidence\preprod-smoke-20260217-191434","evidence","3","0","3"
"evidence\preprod-smoke-20260217-191652","evidence","3","0","3"
"evidence\prod-check-20260217-165030","evidence","3","0","3"
"evidence\prod-check-20260217-165124","evidence","3","0","3"
"evidence\prod-check-20260217-165151","evidence","3","0","3"
"evidence\prod-check-20260217-185420","evidence","3","0","3"
"evidence\prod-check-20260217-185552","evidence","3","0","3"
"evidence\prod-check-20260217-191957","evidence","3","0","3"
"evidence\week-scheduler-smoke-20260217-185809","evidence","0","0",
"evidence\week-scheduler-smoke-20260217-185844","evidence","0","0",
"evidence\week-scheduler-smoke-20260217-185959","evidence","3","0","3"
"evidence\week-scheduler-smoke-20260217-191434","evidence","3","0","3"
"evidence\week-scheduler-smoke-20260217-191652","evidence","3","0","3"
"infra","","2","0","2"
"k8s","","2","0","2"
"lib","","5","152","2098"
"lib\acquire","lib","3","0","3"
"lib\admin","lib","3","1","4"
"lib\admin\agreement","lib\admin","1","0","1"
"lib\ads","lib","33","0","33"
"lib\agents","lib","3","0","3"
"lib\agreement","lib","4","0","4"
"lib\agreements","lib","6","0","6"
"lib\ai","lib","233","74","703"
"lib\ai\actions","lib\ai","1","0","1"
"lib\ai\agents","lib\ai","10","0","10"
"lib\ai\analysis","lib\ai","1","0","1"
"lib\ai\architecture","lib\ai","2","0","2"
"lib\ai\attribution","lib\ai","6","0","6"
"lib\ai\autonomy","lib\ai","9","0","9"
"lib\ai\behaviour","lib\ai","1","0","1"
"lib\ai\block","lib\ai","1","0","1"
"lib\ai\boardroom","lib\ai","7","0","7"
"lib\ai\brain","lib\ai","3","0","3"
"lib\ai\capital","lib\ai","10","0","10"
"lib\ai\ceo","lib\ai","9","0","9"
"lib\ai\churn","lib\ai","1","0","1"
"lib\ai\company","lib\ai","10","0","10"
"lib\ai\content","lib\ai","2","0","2"
"lib\ai\context","lib\ai","3","0","3"
"lib\ai\contract","lib\ai","1","0","1"
"lib\ai\control","lib\ai","14","0","14"
"lib\ai\controlTower","lib\ai","2","0","2"
"lib\ai\conversion","lib\ai","1","0","1"
"lib\ai\creativity","lib\ai","1","0","1"
"lib\ai\cro","lib\ai","1","0","1"
"lib\ai\culture","lib\ai","1","0","1"
"lib\ai\delivery","lib\ai","2","0","2"
"lib\ai\design","lib\ai","9","0","9"
"lib\ai\engines","lib\ai","0","1","198"
"lib\ai\engines\capabilities","lib\ai\engines","198","0","198"
"lib\ai\enterprise","lib\ai","3","0","3"
"lib\ai\events","lib\ai","1","0","1"
"lib\ai\experience","lib\ai","1","0","1"
"lib\ai\experiments","lib\ai","5","0","5"
"lib\ai\forecast","lib\ai","1","0","1"
"lib\ai\governance","lib\ai","2","0","2"
"lib\ai\growth","lib\ai","1","0","1"
"lib\ai\health","lib\ai","1","0","1"
"lib\ai\insights","lib\ai","4","0","4"
"lib\ai\intelligence","lib\ai","14","0","14"
"lib\ai\jobs","lib\ai","3","0","3"
"lib\ai\kitchen","lib\ai","3","0","3"
"lib\ai\knowledge","lib\ai","2","0","2"
"lib\ai\layout","lib\ai","2","0","2"
"lib\ai\learning","lib\ai","6","0","6"
"lib\ai\logging","lib\ai","4","0","4"
"lib\ai\market","lib\ai","8","0","8"
"lib\ai\marketing","lib\ai","1","0","1"
"lib\ai\media","lib\ai","1","0","1"
"lib\ai\memory","lib\ai","15","0","15"
"lib\ai\menu","lib\ai","3","0","3"
"lib\ai\monopoly","lib\ai","7","0","7"
"lib\ai\nutrition","lib\ai","1","0","1"
"lib\ai\org","lib\ai","7","0","7"
"lib\ai\pageIntent","lib\ai","1","0","1"
"lib\ai\pairing","lib\ai","1","0","1"
"lib\ai\personalization","lib\ai","1","0","1"
"lib\ai\pricing","lib\ai","1","0","1"
"lib\ai\procurement","lib\ai","1","0","1"
"lib\ai\profit","lib\ai","7","0","7"
"lib\ai\radar","lib\ai","1","0","1"
"lib\ai\reality","lib\ai","8","0","8"
"lib\ai\resources","lib\ai","6","0","6"
"lib\ai\retention","lib\ai","1","0","1"
"lib\ai\revenue","lib\ai","7","0","7"
"lib\ai\safety","lib\ai","1","0","1"
"lib\ai\sales","lib\ai","1","0","1"
"lib\ai\scaling","lib\ai","6","0","6"
"lib\ai\schema","lib\ai","5","0","5"
"lib\ai\segmentation","lib\ai","1","0","1"
"lib\ai\strategic","lib\ai","1","0","1"
"lib\ai\tools","lib\ai","12","0","12"
"lib\ai\traffic","lib\ai","1","0","1"
"lib\ai\ui","lib\ai","1","0","1"
"lib\ai\utils","lib\ai","1","0","1"
"lib\ai\ux","lib\ai","1","0","1"
"lib\ai\validation","lib\ai","1","0","1"
"lib\ai\waste","lib\ai","1","0","1"
"lib\alerts","lib","6","0","6"
"lib\analytics","lib","3","0","3"
"lib\api","lib","6","0","6"
"lib\approval","lib","1","0","1"
"lib\attribution","lib","1","0","1"
"lib\audit","lib","11","0","11"
"lib\auth","lib","28","0","28"
"lib\automation","lib","1","0","1"
"lib\autonomy","lib","38","0","38"
"lib\autopilot","lib","13","0","13"
"lib\backoffice","lib","1","2","6"
"lib\backoffice\content","lib\backoffice","3","0","3"
"lib\backoffice\experiments","lib\backoffice","2","0","2"
"lib\billing","lib","9","0","9"
"lib\board","lib","1","0","1"
"lib\business","lib","6","0","6"
"lib\cache","lib","4","0","4"
"lib\campaign","lib","1","0","1"
"lib\ceo","lib","9","0","9"
"lib\chaos","lib","3","0","3"
"lib\cms","lib","65","11","105"
"lib\cms\backoffice","lib\cms","5","0","5"
"lib\cms\blocks","lib\cms","6","0","6"
"lib\cms\components","lib\cms","1","0","1"
"lib\cms\design","lib\cms","2","0","2"
"lib\cms\health","lib\cms","1","0","1"
"lib\cms\media","lib\cms","4","0","4"
"lib\cms\model","lib\cms","6","0","6"
"lib\cms\overlays","lib\cms","2","0","2"
"lib\cms\plugins","lib\cms","4","0","4"
"lib\cms\public","lib\cms","8","0","8"
"lib\cms\seed","lib\cms","1","0","1"
"lib\compliance","lib","2","0","2"
"lib\config","lib","2","0","2"
"lib\content","lib","7","0","7"
"lib\controlTower","lib","4","0","4"
"lib\copy","lib","2","0","2"
"lib\core","lib","22","0","22"
"lib\crm","lib","3","0","3"
"lib\cro","lib","6","0","6"
"lib\cto","lib","7","0","7"
"lib\data","lib","6","0","6"
"lib\date","lib","7","0","7"
"lib\db","lib","5","0","5"
"lib\demo","lib","5","0","5"
"lib\design","lib","7","0","7"
"lib\distributed","lib","3","0","3"
"lib\domain","lib","1","0","1"
"lib\domination","lib","6","0","6"
"lib\driver","lib","1","0","1"
"lib\edge","lib","7","0","7"
"lib\email","lib","3","0","3"
"lib\engine","lib","4","0","4"
"lib\enterprise","lib","1","0","1"
"lib\env","lib","1","0","1"
"lib\errors","lib","1","0","1"
"lib\esg","lib","18","0","18"
"lib\eventBus","lib","3","0","3"
"lib\evolution","lib","10","0","10"
"lib\execution","lib","3","0","3"
"lib\exit","lib","9","0","9"
"lib\experiment","lib","17","0","17"
"lib\experiments","lib","15","0","15"
"lib\finance","lib","10","0","10"
"lib\flags","lib","1","0","1"
"lib\forecast","lib","8","0","8"
"lib\global","lib","20","0","20"
"lib\golive","lib","6","0","6"
"lib\growth","lib","44","1","57"
"lib\growth\capitalAllocation","lib\growth","13","0","13"
"lib\gtm","lib","18","0","18"
"lib\guards","lib","2","0","2"
"lib\hooks","lib","3","0","3"
"lib\http","lib","30","0","30"
"lib\i18n","lib","1","0","1"
"lib\idempotency","lib","2","0","2"
"lib\infra","lib","15","0","15"
"lib\integrations","lib","12","2","17"
"lib\integrations\hubspot","lib\integrations","4","0","4"
"lib\integrations\tripletex","lib\integrations","1","0","1"
"lib\investor","lib","3","0","3"
"lib\invites","lib","2","0","2"
"lib\ipo","lib","2","0","2"
"lib\kitchen","lib","8","0","8"
"lib\layout","lib","5","0","5"
"lib\leads","lib","2","0","2"
"lib\learning","lib","2","0","2"
"lib\live","lib","1","0","1"
"lib\localRuntime","lib","2","0","2"
"lib\market","lib","13","0","13"
"lib\media","lib","10","0","10"
"lib\menu","lib","1","0","1"
"lib\metrics","lib","2","0","2"
"lib\ml","lib","30","0","30"
"lib\monitoring","lib","7","0","7"
"lib\monopoly","lib","5","0","5"
"lib\moo","lib","18","0","18"
"lib\mvo","lib","20","0","20"
"lib\network","lib","1","0","1"
"lib\neural","lib","6","0","6"
"lib\observability","lib","31","0","31"
"lib\onboarding","lib","7","0","7"
"lib\ops","lib","7","0","7"
"lib\optimization","lib","1","0","1"
"lib\orderBackup","lib","10","0","10"
"lib\orders","lib","10","0","10"
"lib\outbound","lib","27","0","27"
"lib\outbox","lib","2","0","2"
"lib\partners","lib","3","0","3"
"lib\pdf","lib","1","0","1"
"lib\personalization","lib","2","0","2"
"lib\phone","lib","1","0","1"
"lib\pilot","lib","1","0","1"
"lib\pipeline","lib","20","0","20"
"lib\pitch","lib","1","0","1"
"lib\platform","lib","1","0","1"
"lib\pos","lib","15","0","15"
"lib\predictive","lib","7","0","7"
"lib\pricing","lib","8","0","8"
"lib\procurement","lib","9","0","9"
"lib\product","lib","8","0","8"
"lib\production","lib","1","0","1"
"lib\public","lib","2","4","23"
"lib\public\analytics","lib\public","3","0","3"
"lib\public\blocks","lib\public","3","0","3"
"lib\public\demoCtaAb","lib\public","12","0","12"
"lib\public\forms","lib\public","3","0","3"
"lib\queue","lib","6","0","6"
"lib\recovery","lib","3","0","3"
"lib\repo","lib","1","0","1"
"lib\repo-intelligence","lib","1","0","1"
"lib\revenue","lib","45","0","45"
"lib\rl","lib","1","0","1"
"lib\runtime","lib","2","0","2"
"lib\sales","lib","60","0","60"
"lib\salesAutonomy","lib","9","0","9"
"lib\sanity","lib","7","0","7"
"lib\scale","lib","6","0","6"
"lib\sdr","lib","3","0","3"
"lib\security","lib","12","0","12"
"lib\selfheal","lib","10","0","10"
"lib\self-healing","lib","3","0","3"
"lib\seo","lib","15","0","15"
"lib\server","lib","0","2","8"
"lib\server\agreements","lib\server","4","0","4"
"lib\server\demoCtaAb","lib\server","4","0","4"
"lib\settings","lib","4","0","4"
"lib\simulation","lib","3","0","3"
"lib\social","lib","74","0","74"
"lib\sre","lib","2","0","2"
"lib\strategy","lib","10","0","10"
"lib\supabase","lib","8","0","8"
"lib\superadmin","lib","8","0","8"
"lib\system","lib","19","0","19"
"lib\saas","lib","5","0","5"
"lib\tenant","lib","2","0","2"
"lib\theme","lib","1","0","1"
"lib\toast","lib","1","0","1"
"lib\tripletex","lib","1","0","1"
"lib\types","lib","1","0","1"
"lib\ui","lib","16","0","16"
"lib\url","lib","2","0","2"
"lib\utils","lib","1","0","1"
"lib\validation","lib","3","0","3"
"lib\video","lib","14","0","14"
"lib\week","lib","3","0","3"
"lib\workflow","lib","1","0","1"
"perf","","0","1","8"
"perf\k6","perf","4","1","8"
"perf\k6\scenarios","perf\k6","4","0","4"
"playwright-report","","1","0","1"
"plugins","","2","0","2"
"public","","6","6","49"
"public\brand","public","2","0","2"
"public\favicon_io","public","7","0","7"
"public\forsidebilder","public","1","0","1"
"public\LunchPortalen_Enterprise_Logo_Pack","public","0","5","7"
"public\LunchPortalen_Enterprise_Logo_Pack\01_PRIMARY","public\LunchPortalen_Enterprise_Logo_Pack","3","0","3"
"public\LunchPortalen_Enterprise_Logo_Pack\03_Favicon","public\LunchPortalen_Enterprise_Logo_Pack","1","0","1"
"public\LunchPortalen_Enterprise_Logo_Pack\06_MANUAL","public\LunchPortalen_Enterprise_Logo_Pack","1","0","1"
"public\LunchPortalen_Enterprise_Logo_Pack\07_SVG","public\LunchPortalen_Enterprise_Logo_Pack","1","0","1"
"public\LunchPortalen_Enterprise_Logo_Pack\08_VECTOR","public\LunchPortalen_Enterprise_Logo_Pack","1","0","1"
"public\matbilder","public","23","0","23"
"public\og","public","3","0","3"
"repo-intelligence","","13","0","13"
"reports","","1","0","1"
"scripts","","42","8","78"
"scripts\audit","scripts","1","0","1"
"scripts\backoffice","scripts","2","0","2"
"scripts\ci","scripts","9","0","9"
"scripts\db","scripts","1","0","1"
"scripts\git-hooks","scripts","1","0","1"
"scripts\smoke","scripts","7","0","7"
"scripts\sql","scripts","2","0","2"
"scripts\system-test","scripts","2","2","13"
"scripts\system-test\steps","scripts\system-test","6","0","6"
"scripts\system-test\utils","scripts\system-test","5","0","5"
"src","","0","2","19"
"src\components","src","0","5","17"
"src\components\layout","src\components","2","0","2"
"src\components\nav","src\components","4","0","4"
"src\components\registration","src\components","1","0","1"
"src\components\ui","src\components","1","1","9"
"src\components\ui\ds","src\components\ui","8","0","8"
"src\components\week","src\components","1","0","1"
"src\lib","src","0","2","2"
"src\lib\agreements","src\lib","1","0","1"
"src\lib\guards","src\lib","1","0","1"
"studio","","14","8","46"
"studio\.sanity","studio","0","1","2"
"studio\.sanity\runtime","studio\.sanity","2","0","2"
"studio\lunchportalen-studio","studio","9","2","11"
"studio\lunchportalen-studio\schemaTypes","studio\lunchportalen-studio","1","0","1"
"studio\lunchportalen-studio\static","studio\lunchportalen-studio","1","0","1"
"studio\schemas","studio","3","0","3"
"studio\schemaTypes","studio","11","0","11"
"studio\seed","studio","1","0","1"
"studio\src","studio","1","1","2"
"studio\src\tools","studio\src","1","0","1"
"studio\static","studio","1","0","1"
"studio\tools","studio","0","1","1"
"studio\tools\weekPlanner","studio\tools","1","0","1"
"supabase","","2","3","164"
"supabase\.branches","supabase","1","0","1"
"supabase\.temp","supabase","8","0","8"
"supabase\migrations","supabase","153","0","153"
"superadmin","","0","1",
"superadmin\system","superadmin","0","1",
"superadmin\system\repairs","superadmin\system","0","1",
"superadmin\system\repairs\run","superadmin\system\repairs","0","0",
"test-results","","1","0","1"
"tests","","17","45","290"
"tests\_helpers","tests","4","0","4"
"tests\_mocks","tests","1","0","1"
"tests\admin","tests","1","0","1"
"tests\ads","tests","4","0","4"
"tests\agreements","tests","2","0","2"
"tests\ai","tests","37","2","39"
"tests\ai\company","tests\ai","1","0","1"
"tests\ai\revenue","tests\ai","1","0","1"
"tests\alerts","tests","1","0","1"
"tests\analytics","tests","1","0","1"
"tests\api","tests","40","0","40"
"tests\audit","tests","1","0","1"
"tests\auth","tests","15","0","15"
"tests\autonomy","tests","1","0","1"
"tests\backoffice","tests","8","0","8"
"tests\billing","tests","3","0","3"
"tests\cms","tests","64","0","64"
"tests\compliance","tests","1","0","1"
"tests\components","tests","1","0","1"
"tests\core","tests","1","0","1"
"tests\db","tests","1","0","1"
"tests\driver","tests","1","0","1"
"tests\env","tests","2","0","2"
"tests\esg","tests","2","0","2"
"tests\finance","tests","1","0","1"
"tests\forecast","tests","1","0","1"
"tests\gtm","tests","1","0","1"
"tests\integrations","tests","1","0","1"
"tests\invites","tests","1","0","1"
"tests\kitchen","tests","3","0","3"
"tests\lib","tests","9","8","29"
"tests\lib\ai","tests\lib","2","0","2"
"tests\lib\cro","tests\lib","5","0","5"
"tests\lib\design","tests\lib","1","0","1"
"tests\lib\http","tests\lib","1","0","1"
"tests\lib\kitchen","tests\lib","3","0","3"
"tests\lib\media","tests\lib","3","0","3"
"tests\lib\observability","tests\lib","1","0","1"
"tests\lib\seo","tests\lib","4","0","4"
"tests\middleware","tests","1","0","1"
"tests\ml","tests","2","0","2"
"tests\motion","tests","1","0","1"
"tests\observability","tests","3","0","3"
"tests\pricing","tests","1","0","1"
"tests\procurement","tests","1","0","1"
"tests\product","tests","1","0","1"
"tests\revenue","tests","1","0","1"
"tests\rls","tests","7","0","7"
"tests\runtime","tests","11","0","11"
"tests\security","tests","5","0","5"
"tests\smoke","tests","1","0","1"
"tests\social","tests","1","0","1"
"tests\superadmin","tests","1","0","1"
"tests\system","tests","1","0","1"
"tests\video","tests","4","0","4"
"workers","","1","0","1"
